City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Majene,ID,-3.5403,118.9707,79.88,84,100,1.54,overcast clouds
1,Bluff,NZ,-46.6,168.3333,46.8,83,100,8.48,overcast clouds
2,Ushuaia,AR,-54.8,-68.3,37.06,75,0,8.05,clear sky
3,Jamestown,US,42.097,-79.2353,69.51,75,0,6.91,clear sky
4,Kapaa,US,22.0752,-159.319,77.32,85,20,10.36,few clouds
5,Bolobo,CD,-2.1667,16.2333,83.89,60,100,1.66,light rain
6,Sitka,US,57.0531,-135.33,55.29,88,100,4.61,light rain
7,Busselton,AU,-33.65,115.3333,54.32,78,100,8.72,overcast clouds
8,Port Elizabeth,ZA,-33.918,25.5701,62.1,88,40,12.66,scattered clouds
9,Mataura,NZ,-46.1927,168.8643,46.47,89,99,4.07,overcast clouds
10,Yellowknife,CA,62.456,-114.3525,43.32,100,75,12.66,mist
11,Kruisfontein,ZA,-34.0033,24.7314,59.88,89,100,13.89,light rain
12,College,US,64.8569,-147.8028,45.07,90,100,0.0,overcast clouds
13,Gayeri,BF,12.6497,0.4931,85.82,62,100,8.05,light rain
14,Atuona,PF,-9.8,-139.0333,76.44,76,23,24.67,light rain
15,Kidal,ML,18.4411,1.4078,98.11,28,32,4.09,scattered clouds
16,Slupca,PL,52.2873,17.8719,55.02,66,98,13.56,overcast clouds
17,Potiskum,NG,11.7091,11.0694,85.48,55,79,5.08,light rain
18,Kodiak,US,57.79,-152.4072,51.31,71,0,4.61,clear sky
19,Morant Bay,JM,17.8815,-76.4093,82.71,75,17,5.84,few clouds
20,Katherine,AU,-14.4667,132.2667,91.72,38,75,0.0,broken clouds
21,Providencia,MX,28.7167,-111.5833,82.45,57,0,6.08,clear sky
22,Sao Filipe,CV,14.8961,-24.4956,78.01,75,48,7.2,scattered clouds
23,Port Alfred,ZA,-33.5906,26.891,62.19,87,100,4.0,overcast clouds
24,Ayan,RU,56.45,138.1667,47.98,96,100,8.7,light rain
25,Kaniama,CD,-7.5667,24.1833,86.9,40,90,3.04,light rain
26,Lebu,CL,-37.6167,-73.65,45.86,61,8,3.44,clear sky
27,Garowe,SO,8.4054,48.4845,97.18,24,2,13.02,clear sky
28,La Asuncion,VE,11.0333,-63.8628,82.42,72,100,7.83,overcast clouds
29,Hithadhoo,MV,-0.6,73.0833,82.72,71,95,7.52,overcast clouds
30,Agnibilekrou,CI,7.1344,-3.2047,81.46,66,100,5.1,light rain
31,Namibe,AO,-15.1961,12.1522,70.7,73,26,15.57,scattered clouds
32,Tiznit,MA,29.5833,-9.5,76.6,52,5,11.63,clear sky
33,Alice Springs,AU,-23.7,133.8833,65.75,30,80,6.91,broken clouds
34,Cuzdrioara,RO,47.1667,23.9167,59.85,78,82,18.05,broken clouds
35,Severo-Kurilsk,RU,50.6789,156.125,48.94,72,100,9.1,overcast clouds
36,San Patricio,US,28.017,-97.5169,85.84,79,3,4.79,clear sky
37,Aksarka,RU,66.5606,67.7975,46.76,92,100,9.44,light rain
38,Sao Joao Da Barra,BR,-21.6403,-41.0511,69.89,60,4,9.62,clear sky
39,Ahipara,NZ,-35.1667,173.1667,58.82,79,100,14.29,light rain
40,Kiunga,PG,-6.1219,141.2906,73.78,99,99,0.89,heavy intensity rain
41,Avarua,CK,-21.2078,-159.775,71.65,88,20,4.61,few clouds
42,Gazanjyk,TM,39.2446,55.5154,88.92,17,0,11.3,clear sky
43,Kalyazin,RU,57.2403,37.8433,62.11,54,100,6.96,overcast clouds
44,Saint George,US,37.1041,-113.5841,69.94,49,0,12.66,clear sky
45,Artyom,AZ,40.4723,50.333,80.74,67,0,14.36,clear sky
46,Kaitangata,NZ,-46.2817,169.8464,43.16,95,36,7.16,scattered clouds
47,Hualmay,PE,-11.0964,-77.6139,61.84,85,82,7.36,broken clouds
48,Rocha,UY,-34.4833,-54.3333,60.01,74,100,13.96,overcast clouds
49,Heilbron,ZA,-27.2812,27.9709,82.6,11,82,19.42,broken clouds
50,Ribeira Grande,PT,38.5167,-28.7,77.4,83,20,12.66,few clouds
51,Payson,US,40.0444,-111.7321,61.41,69,0,4.61,clear sky
52,New Norfolk,AU,-42.7826,147.0587,51.3,80,98,1.99,light rain
53,Rzhev,RU,56.2624,34.3282,61.7,44,80,8.72,light rain
54,Rotifunk,SL,8.2333,-12.6833,73.2,98,100,4.38,heavy intensity rain
55,Riviera Beach,US,26.7753,-80.0581,77.02,100,75,0.0,broken clouds
56,Axim,GH,4.8699,-2.2405,80.17,73,68,11.03,broken clouds
57,Souillac,MU,-20.5167,57.5167,73.78,64,75,16.11,broken clouds
58,Goderich,CA,43.7501,-81.7165,70.92,83,100,13.8,overcast clouds
59,Mahebourg,MU,-20.4081,57.7,73.69,64,75,16.11,broken clouds
60,Khatanga,RU,71.9667,102.5,27.05,81,7,8.84,clear sky
61,Labuhan,ID,-6.8844,112.2051,82.45,70,20,7.52,few clouds
62,Georgetown,MY,5.4112,100.3354,82.89,78,20,5.01,light rain
63,George,ZA,-33.963,22.4617,53.15,94,100,6.91,overcast clouds
64,Barra Patuca,HN,15.8,-84.2833,78.21,88,68,4.0,broken clouds
65,Victoria,HK,22.2855,114.1577,86.05,79,61,15.99,broken clouds
66,Cape Town,ZA,-33.9258,18.4232,65.1,59,20,19.57,few clouds
67,Teya,RU,60.3778,92.6267,47.52,93,100,3.96,light rain
68,Limon,CR,10.0,-83.0333,74.05,100,75,4.61,broken clouds
69,Pevek,RU,69.7008,170.3133,32.59,93,100,20.24,overcast clouds
