City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Coihaique,CL,2022-09-17 15:47:13,-45.5752,-72.0662,40.95,52,20,4.61
1,Punta Arenas,CL,2022-09-17 15:44:55,-53.15,-70.9167,46.51,42,0,20.71
2,Bluff,NZ,2022-09-17 15:47:13,-46.6,168.3333,42.37,83,97,7.27
3,Albany,US,2022-09-17 15:43:56,42.6001,-73.9662,64.31,64,100,2.01
4,Busselton,AU,2022-09-17 15:47:14,-33.65,115.3333,51.15,89,20,4.99
5,Gap,FR,2022-09-17 15:47:14,44.6667,6.0,47.73,39,0,9.86
6,Rikitea,PF,2022-09-17 15:47:15,-23.1203,-134.9692,72.59,74,0,18.95
7,Atchison,US,2022-09-17 15:47:15,39.563,-95.1216,79.32,87,80,11.18
8,Hilo,US,2022-09-17 15:45:32,19.7297,-155.09,83.28,80,40,6.91
9,Cape Town,ZA,2022-09-17 15:47:16,-33.9258,18.4232,59.41,66,75,11.5
10,Yuli,NG,2022-09-17 15:47:16,9.6989,10.2744,76.86,80,99,2.59
11,Acapulco,MX,2022-09-17 15:47:17,16.8634,-99.8901,75.78,96,100,14.27
12,Mataura,NZ,2022-09-17 15:47:17,-46.1927,168.8643,36.73,97,89,3.49
13,Pevek,RU,2022-09-17 15:47:17,69.7008,170.3133,33.62,99,100,19.24
14,New Norfolk,AU,2022-09-17 15:43:05,-42.7826,147.0587,47.7,78,100,1.01
15,Butaritari,KI,2022-09-17 15:47:18,3.0707,172.7902,82.09,66,54,12.53
16,Filadelfia,US,2022-09-17 15:44:50,39.9523,-75.1638,80.11,64,75,8.05
17,Nepomuk,CZ,2022-09-17 15:47:19,49.4862,13.5823,52.65,86,97,13.44
18,Saint Pete Beach,US,2022-09-17 15:47:19,27.7253,-82.7412,85.21,71,0,10.36
19,Ushuaia,AR,2022-09-17 15:43:37,-54.8,-68.3,40.66,70,40,33.38
20,Georgetown,MY,2022-09-17 15:44:47,5.4112,100.3354,84.13,88,20,3.44
21,Jamestown,US,2022-09-17 15:47:20,42.097,-79.2353,75.52,59,14,4.0
22,Port Elizabeth,ZA,2022-09-17 15:44:21,-33.918,25.5701,64.09,82,20,16.11
23,Faya,SA,2022-09-17 15:47:21,18.3851,42.4509,71.71,57,91,6.22
24,Port Macquarie,AU,2022-09-17 15:47:21,-31.4333,152.9167,54.9,67,1,7.47
25,Srednekolymsk,RU,2022-09-17 15:47:22,67.45,153.6833,36.34,68,100,1.9
26,Soyo,AO,2022-09-17 15:47:22,-6.1349,12.3689,75.88,77,83,8.25
27,Yafran,LY,2022-09-17 15:47:23,32.0633,12.5286,94.39,10,0,10.89
28,Yellowknife,CA,2022-09-17 15:45:58,62.456,-114.3525,45.12,100,100,9.22
29,Ancud,CL,2022-09-17 15:47:23,-41.8697,-73.8203,45.23,48,4,4.38
30,Sobolevo,RU,2022-09-17 15:47:24,54.4299,31.8996,54.68,54,100,6.71
31,Torbay,CA,2022-09-17 15:47:24,47.6666,-52.7314,59.4,75,75,17.27
32,Linfen,CN,2022-09-17 15:47:25,36.0889,111.5189,75.09,50,20,3.47
33,Chuy,UY,2022-09-17 15:47:25,-33.6971,-53.4616,66.65,57,100,14.79
34,Khatanga,RU,2022-09-17 15:47:26,71.9667,102.5,26.15,88,56,8.43
35,Kapaa,US,2022-09-17 15:47:26,22.0752,-159.319,73.38,83,0,8.05
36,Puerto Escondido,MX,2022-09-17 15:47:26,15.85,-97.0667,75.97,94,100,0.43
37,Amapa,BR,2022-09-17 15:47:27,1.0,-52.0,94.73,34,15,6.13
38,Bonthe,SL,2022-09-17 15:47:27,7.5264,-12.505,80.35,78,61,11.34
39,Arraial Do Cabo,BR,2022-09-17 15:47:27,-22.9661,-42.0278,73.36,56,40,12.66
40,Rocha,UY,2022-09-17 15:47:28,-34.4833,-54.3333,68.22,54,100,16.02
41,Hualmay,PE,2022-09-17 15:47:28,-11.0964,-77.6139,66.74,74,36,13.04
42,Pyapon,MM,2022-09-17 15:47:29,16.2833,95.6833,76.42,94,100,5.86
43,Vestmanna,FO,2022-09-17 15:47:29,62.1564,-7.1664,49.12,87,100,4.61
44,Nikolskoye,RU,2022-09-17 15:47:29,59.7035,30.7861,55.29,94,92,9.73
45,Puerto Ayora,EC,2022-09-17 15:47:30,-0.7393,-90.3518,67.55,87,79,3.0
46,Port Alfred,ZA,2022-09-17 15:47:30,-33.5906,26.891,62.19,95,80,1.99
47,Ghiror,IN,2022-09-17 15:48:30,27.1833,78.8,77.65,86,76,3.71
48,Faanui,PF,2022-09-17 15:48:31,-16.4833,-151.75,79.05,62,94,18.57
49,Stonewall,CA,2022-09-17 15:45:54,50.1344,-97.3268,57.7,93,100,7.74
50,Te Anau,NZ,2022-09-17 15:48:31,-45.4167,167.7167,36.68,91,97,1.43
51,Tuktoyaktuk,CA,2022-09-17 15:48:32,69.4541,-133.0374,41.0,93,75,12.66
52,Tombouctou,ML,2022-09-17 15:48:32,20.0,-3.0,106.0,10,4,4.65
53,Grindavik,IS,2022-09-17 15:48:32,63.8424,-22.4338,52.27,71,75,5.75
54,Lavrentiya,RU,2022-09-17 15:48:33,65.5833,-171.0,43.66,94,100,18.77
55,Aljezur,PT,2022-09-17 15:48:33,37.3191,-8.8033,77.09,62,4,6.87
56,Port-Gentil,GA,2022-09-17 15:48:33,-0.7193,8.7815,80.56,74,40,14.97
57,Sola,VU,2022-09-17 15:48:34,-13.8833,167.55,80.67,75,19,19.95
58,Mtama,TZ,2022-09-17 15:48:34,-10.3,39.3667,73.76,66,50,8.59
59,Umea,SE,2022-09-17 15:48:35,63.8284,20.2597,51.73,87,100,12.66
